time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_reward,eval/mean_ep_length,train/ent_coef,train/n_updates,train/actor_loss,train/learning_rate,train/critic_loss,,,
4,15366,6048,0,,,,,,,,,,env_kwargs = {
,,8000,,7.713777875,485,,,,,,,,"    ""hmax"": 5,"
8,29288,12096,0,,,,,,,,,,"    ""initial_amount"": 10000,"
,,16000,,7.713777875,485,,,,,,,,"    ""num_stock_shares"": num_stock_shares,"
12,45692,18144,0,,,,,,,,,,"    ""buy_cost_pct"": buy_cost_list,"
,,24000,,7.713777875,485,,,,,,,,"    ""sell_cost_pct"": sell_cost_list,"
16,68101,24192,0,,,,,,,,,,"    ""state_space"": state_space,"
20,89076,30240,0,,,0.01,119,473.8869934,3.00E-05,26902.26953,,,"    ""stock_dim"": stock_dimension,"
,,32000,,60.27190014,485,0.01,999,542.1785889,3.00E-05,30157.73633,,,"    ""tech_indicator_list"": INDICATORS,"
24,93392,36288,0,,,0.01,3143,773.9228516,3.00E-05,1371781.75,,,"    ""action_space"": stock_dimension,"
,,40000,,24.87646669,485,0.01,4999,759.5888062,3.00E-05,189681.6719,,,"    ""reward_scaling"": 0.001#1e-4"
28,103068,42336,0,,,0.01,6167,775.432251,3.00E-05,366519.875,,,}
,,48000,,4.388512122,485,0.01,8999,1066.094482,3.00E-05,37706.89063,,,
32,105664,48384,0,,,0.01,9191,1038.762695,3.00E-05,42146.91406,,,"   SAC_PARAMS = {""batch_size"": 512, ""buffer_size"": 150000, ""learning_rate"": 0.00003,""train_freq"": 2,""tau"": 0.005, ""learning_starts"": 30000, ""ent_coef"": 0.01,""gradient_steps"": 1} #"
36,106998,54432,0,,,0.01,12215,1304.069092,3.00E-05,88562.33594,,,
,,56000,,-1.248732862,485,0.01,12999,1262.293945,3.00E-05,306026.875,,,"   stop_train_callback = StopTrainingOnNoModelImprovement(max_no_improvement_evals=30,  min_evals=40, verbose=1)"
40,108182,60480,0,,,0.01,15239,1365.351196,3.00E-05,85892.17969,,,    
,,64000,,17.3447966,485,0.01,16999,1302.904785,3.00E-05,312203.4375,,,    # 設定評估回調
44,109210,66528,0,,,0.01,18263,1355.798584,3.00E-05,58468.98047,,,   eval_callback = EvalCallback(
,,72000,,17.50222708,485,0.01,20999,1320.052002,3.00E-05,94861.96094,,,"        env_eval,"
48,110107,72576,0,,,0.01,21287,1317.583618,3.00E-05,329546.8438,,,"        best_model_save_path=TRAINED_MODEL_DIR + ""/best_sac"",  # 儲存最佳模型的路徑"
52,110744,78624,0,,,0.01,24311,1288.583862,3.00E-05,71774.73438,,,"        log_path=RESULTS_DIR + ""/eval_results"",               # 評估結果的日誌路徑"
,,80000,,2.0564918,485,0.01,24999,1232.857666,3.00E-05,182494.2969,,,"        eval_freq=8000,                                      # 每10000步評估一次"
56,111543,84672,0,,,0.01,27335,1134.550293,3.00E-05,56372.44531,,,"        n_eval_episodes=20,                                   # 每次評估進行10個回合"
,,88000,,4.85224289,485,0.01,28999,1216.064941,3.00E-05,74161.40625,,,"        deterministic=True,                                   # 評估時使用確定性動作"
60,112226,90720,0,,,0.01,30359,1174.884033,3.00E-05,63823.15625,,,"        callback_after_eval=stop_train_callback,              # 加入 early stopping"
,,96000,,13.04767659,485,0.01,32999,1018.539429,3.00E-05,65606.35156,,,        verbose=1
64,113047,96768,0,,,0.01,33383,970.6439209,3.00E-05,52020.15234,,,    )
68,113492,102816,0,,,0.01,36407,905.5857544,3.00E-05,52668.45703,,,
,,104000,,8.38282141,485,0.01,36999,931.4245605,3.00E-05,58786.375,,,
72,114300,108864,0,,,0.01,39431,792.6878662,3.00E-05,53918.07422,,,
,,112000,,13.04767659,485,0.01,40999,688.3496094,3.00E-05,45665.02344,,,
76,115160,114912,0,,,0.01,42455,667.6154785,3.00E-05,45702.64453,,,
,,120000,,-2.017162858,485,0.01,44999,646.8621826,3.00E-05,39293.95313,,,
80,118594,120960,1,,,0.01,45479,557.4476318,3.00E-05,55048.1875,,,
84,118988,127008,1,,,0.01,48503,535.2279053,3.00E-05,40885.20313,,,
,,128000,,-5.631954279,485,0.01,48999,558.1328125,3.00E-05,43040.66016,,,
88,119609,133056,1,,,0.01,51527,450.5405273,3.00E-05,40916.85547,,,
,,136000,,16.03938423,485,0.01,52999,414.5138855,3.00E-05,34265.35547,,,
92,120348,139104,1,,,0.01,54551,355.2466736,3.00E-05,31969.99219,,,
,,144000,,5.690846472,485,0.01,56999,302.9337158,3.00E-05,31848.45508,,,
96,121647,145152,1,,,0.01,57575,300.3997192,3.00E-05,38247.09375,,,
100,122203,151200,1,,,0.01,60599,172.995575,3.00E-05,32728.35547,,,
,,152000,,2.873564252,485,0.01,60999,217.3406982,3.00E-05,28995.91016,,,
104,123408,157248,1,,,0.01,63623,133.2325745,3.00E-05,29063.58789,,,
,,160000,,4.707104526,485,0.01,64999,33.50498581,3.00E-05,20248.66016,,,
108,124626,163296,1,,,0.01,66647,19.84717941,3.00E-05,22348.69141,,,
,,168000,,1.824153761,485,0.01,68999,-134.8089905,3.00E-05,86128.35938,,,
112,125432,169344,1,,,0.01,69671,-85.08693695,3.00E-05,29064.58008,,,
116,126413,175392,1,,,0.01,72695,-261.7671814,3.00E-05,24712.25195,,,
,,176000,,-10.11157626,485,0.01,72999,-254.0139923,3.00E-05,26626.7793,,,
120,127218,181440,1,,,0.01,75719,-332.7163086,3.00E-05,86341.41406,,,
,,184000,,24.4342544,485,0.01,76999,-458.1589661,3.00E-05,29862.38281,,,
124,128516,187488,1,,,0.01,78743,-503.3390198,3.00E-05,102881.5625,,,
,,192000,,13.61341403,485,0.01,80999,-521.6688843,3.00E-05,15879.21289,,,
128,129703,193536,1,,,0.01,81767,-542.7252197,3.00E-05,53981.02734,,,
132,131280,199584,1,,,0.01,84791,-648.0809326,3.00E-05,16007.5,,,
,,200000,,28.15855289,485,0.01,84999,-593.2824707,3.00E-05,10131.82031,,,
136,132233,205632,1,,,0.01,87815,-587.6741943,3.00E-05,7207.456543,,,
,,208000,,31.37615444,485,0.01,88999,-549.9713135,3.00E-05,5222.639648,,,
140,133745,211680,1,,,0.01,90839,-535.9747314,3.00E-05,5072.703125,,,
,,216000,,135.8412534,485,0.01,92999,-533.0305176,3.00E-05,4757.92041,,,
144,134864,217728,1,,,0.01,93863,-486.5979309,3.00E-05,3431.962402,,,
148,136210,223776,1,,,0.01,96887,-474.2426758,3.00E-05,2740.674316,,,
,,224000,,35.01884303,485,0.01,96999,-452.085968,3.00E-05,2871.318848,,,
152,137271,229824,1,,,0.01,99911,-482.7965698,3.00E-05,2313.412109,,,
,,232000,,27.75816317,485,0.01,100999,-479.5172729,3.00E-05,2622.095703,,,
156,139015,235872,1,,,0.01,102935,-486.0333862,3.00E-05,2010.572266,,,
,,240000,,28.35421934,485,0.01,104999,-506.7605591,3.00E-05,2439.068848,,,
160,140059,241920,1,,,0.01,105959,-504.1159363,3.00E-05,2060.291016,,,
164,141545,247968,1,,,0.01,108983,-591.8482666,3.00E-05,2251.37793,,,
,,248000,,59.20515232,485,0.01,108999,-568.7299194,3.00E-05,2256.699707,,,
168,142664,254016,1,,,0.01,112007,-568.2304077,3.00E-05,1853.671631,,,
,,256000,,43.54895503,485,0.01,112999,-611.0957031,3.00E-05,1942.893799,,,
172,148210,260064,1,,,0.01,115031,-607.9890747,3.00E-05,1949.988037,,,
,,264000,,15.75767722,485,0.01,116999,-706.649292,3.00E-05,2426.917969,,,
176,149310,266112,1,,,0.01,118055,-697.7994385,3.00E-05,2676.928955,,,
,,272000,,9.076780899,485,0.01,120999,-738.8984375,3.00E-05,2116.999756,,,
180,150459,272160,1,,,0.01,121079,-775.8905029,3.00E-05,1753.538086,,,
184,151284,278208,1,,,0.01,124103,-763.7781982,3.00E-05,2552.541016,,,
,,280000,,23.54256555,485,0.01,124999,-793.1995239,3.00E-05,2152.685059,,,
188,152475,284256,1,,,0.01,127127,-861.6019897,3.00E-05,2285.708008,,,
,,288000,,29.74727593,485,0.01,128999,-864.1190186,3.00E-05,2122.099365,,,
192,154746,290304,1,,,0.01,130151,-859.0623169,3.00E-05,2155.330566,,,
,,296000,,-5.468927728,485,0.01,132999,-880.2399902,3.00E-05,2400.329102,,,
196,156008,296352,1,,,0.01,133175,-883.4523926,3.00E-05,2685.432617,,,
200,156910,302400,1,,,0.01,136199,-885.8616943,3.00E-05,2466.533691,,,
,,304000,,5.386098291,485,0.01,136999,-766.1680908,3.00E-05,2687.006592,,,
204,159260,308448,1,,,0.01,139223,-818.6741333,3.00E-05,2542.153809,,,
,,312000,,-5.420527491,485,0.01,140999,-778.7512207,3.00E-05,2596.724121,,,
208,160623,314496,1,,,0.01,142247,-864.7402344,3.00E-05,3189.625977,,,
,,320000,,1.38267422,485,0.01,144999,-830.0585938,3.00E-05,2635.876465,,,
212,162768,320544,1,,,0.01,145271,-899.0561523,3.00E-05,2387.262207,,,
216,163574,326592,1,,,0.01,148295,-903.0579834,3.00E-05,2439.089355,,,
,,328000,,-1.173699073,485,0.01,148999,-865.6090698,3.00E-05,2106.381104,,,
220,164810,332640,2,,,0.01,151319,-934.6260376,3.00E-05,2967.391846,,,
,,336000,,-7.403672232,485,0.01,152999,-972.617981,3.00E-05,2874.852539,,,
224,167447,338688,2,,,0.01,154343,-971.9249268,3.00E-05,3320.156738,,,
